n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,13,9,600.045828819275,600.102288961411,610.153868627967,138.473811881966,440.272859600955,159.216787718935,8.12187665242388E-05,8.13094159045612E-05,20.310275484277,-0.0967913298213512,-0.0967908271510897,-0.0967912986718695,-0.0904052232345129,-0.0954948114841532,20.310275484277,-0.0967913298213512,-0.0967908271510897,-0.0967912986718695,111410.756249336,117546.190483329,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,14,3,23.9366319179535,24.3129408359528,610.264175449032,152.842698703986,434.770247839973,219.019021027954,0.00774979421882061,0.00775018223973395,19.259509747759,-0.0950582392596199,-0.095057807836289,-0.0950581050647682,0.00774966108781996,0.00774926751868416,19.259509747759,-0.0950582392596199,-0.095057807836289,-0.0950581050647682,0.00171786497655591,0.0118025747201701,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,14,6,600.033118009567,600.024600028992,611.365763864014,119.884434979991,437.913167311926,178.093194457004,0.00128207671533376,0.00128209812829307,24.4522464801131,-0.0950582186436833,-0.0950577893576726,-0.0950579532000741,-0.00833607857901236,-0.0218525691333028,24.4522464801131,-0.0950582186436833,-0.0950577893576726,-0.0950579532000741,750.201230496743,1804.43811211209,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,14,9,600.043406963348,600.052434921265,608.632223388064,131.996887270012,418.674945220002,158.621799234999,9.20052683314513E-05,3.64006811366657E-05,18.9227473897918,-0.0950581939697351,-0.0950572156537305,-0.0950576046880776,-0.075491563910885,-0.0787728812237281,18.9227473897918,-0.0950581939697351,-0.0950572156537305,-0.0950576046880776,82151.3491020153,216504.964863093,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,15,3,13.1198518276215,5.48047399520874,613.449253877974,145.363313476089,398.03316137509,207.3268490521,0.00419195200754766,0.0041911782737713,22.4892048112379,-0.0991462334282092,-0.0991454956465081,-0.0991455362978823,0.00418993363145374,0.00418942912673868,22.4892048112379,-0.0991462334282092,-0.0991454956465081,-0.0991455362978823,0.048148835919048,0.0417340165071372,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,15,6,600.029947042465,600.035507917404,610.397894069902,126.277722977917,426.412485708948,198.385588628007,0.000883193431530459,0.000883219909817164,28.8396806679048,-0.0991462353643782,-0.0991457518133036,-0.099146233640735,-0.00595218791254051,-0.039418458659923,28.8396806679048,-0.0991462353643782,-0.0991457518133036,-0.099146233640735,773.939331979196,4563.04009021752,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,15,9,600.051372766495,600.0826420784,611.715587539948,139.169389319024,447.088465685025,149.414162250934,4.51019113480466E-05,4.50139173421779E-05,22.2505379286296,-0.0991462199242648,-0.0991454027682611,-0.0991455111875847,-0.0905666386421481,-0.102259395419105,22.2505379286296,-0.0991462199242648,-0.0991454027682611,-0.0991455111875847,200904.435854736,227272.842216264,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,16,3,11.5442271232605,5.05641078948975,612.168520289008,151.261284201988,475.078468327993,198.20651176502,0.000967277118644888,0.00096753950467332,24.3824651884428,-0.104116186556494,-0.104116065020295,-0.104115373358365,0.000966402060643273,0.000966197346336384,24.3824651884428,-0.104116186556494,-0.104116065020295,-0.104115373358365,0.0904661120114906,0.138718711789395,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,16,6,600.014962911606,600.019645929337,609.005060215015,119.781677727005,437.515863981098,149.061612953083,0.000496181093822462,0.000496015008866091,31.4027803681767,-0.104116171847539,-0.104115677395253,-0.104116192185861,-0.0360600047159791,-0.057671644699227,31.4027803681767,-0.104116171847539,-0.104115677395253,-0.104116192185861,7367.50881178913,11726.9958909241,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,16,9,600.021688938141,600.017380952835,610.547275221907,133.120753093041,466.820413267007,160.075821708073,0.000214312249361255,0.000184909003326891,24.1455835428083,-0.104116200381588,-0.104115874667216,-0.104116190939351,-0.0975150301447272,-0.105047910804447,24.1455835428083,-0.104116200381588,-0.104115874667216,-0.104116190939351,45601.3796156613,56910.5981398525,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,17,3,27.5514168739319,23.5728142261505,610.447878692998,152.228423923953,411.892172616092,228.282815687009,0.00464357845739771,0.00464392504798422,20.4296719295387,-0.0989457583130777,-0.0989452227038174,-0.098945756054715,0.00464343180348339,0.00464306827845197,20.4296719295387,-0.0989457583130777,-0.0989452227038174,-0.098945756054715,0.00315820903347442,0.0184492540986506,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
